Nome do Arquivo;Tempo de Processamento(ms);Quantidade de Linhas
tarefas1000.txt;5;1000
tarefas10000.txt;55;10000
tarefas11000.txt;62;11000
tarefas12000.txt;116;12000
tarefas13000.txt;136;13000
tarefas14000.txt;180;14000
tarefas15000.txt;235;15000
tarefas16000.txt;319;16000
tarefas17000.txt;395;17000
tarefas18000.txt;573;18000
tarefas19000.txt;1469;19000
tarefas2000.txt;183;2000
tarefas20000.txt;1968;20000
tarefas21000.txt;2441;21000
tarefas22000.txt;2987;22000
tarefas23000.txt;3330;23000
tarefas24000.txt;3838;24000
tarefas25000.txt;4525;25000
tarefas26000.txt;5092;26000
tarefas27000.txt;5793;27000
tarefas28000.txt;6457;28000
tarefas29000.txt;7392;29000
tarefas3000.txt;765;3000
tarefas30000.txt;9045;30000
tarefas31000.txt;9079;31000
tarefas32000.txt;10882;32000
tarefas33000.txt;12192;33000
tarefas34000.txt;12281;34000
tarefas35000.txt;13443;35000
tarefas36000.txt;14569;36000
tarefas37000.txt;15811;37000
tarefas38000.txt;17247;38000
tarefas39000.txt;18428;39000
tarefas4000.txt;1922;4000
tarefas40000.txt;22155;40000
tarefas41000.txt;22928;41000
tarefas42000.txt;23741;42000
tarefas43000.txt;25276;43000
tarefas44000.txt;27139;44000
tarefas45000.txt;29058;45000
tarefas46000.txt;31438;46000
tarefas47000.txt;33327;47000
tarefas48000.txt;34949;48000
tarefas49000.txt;39770;49000
tarefas5000.txt;4581;5000
tarefas50000.txt;42290;50000
tarefas51000.txt;51119;51000
tarefas52000.txt;50584;52000
tarefas53000.txt;49627;53000
tarefas54000.txt;55873;54000
tarefas55000.txt;57562;55000
tarefas56000.txt;54799;56000
tarefas57000.txt;57555;57000
tarefas58000.txt;66411;58000
tarefas59000.txt;73389;59000
tarefas6000.txt;6971;6000
tarefas60000.txt;78179;60000
tarefas61000.txt;80937;61000
tarefas62000.txt;80626;62000
tarefas63000.txt;82511;63000
tarefas64000.txt;89452;64000
tarefas65000.txt;89335;65000
tarefas66000.txt;94876;66000
tarefas67000.txt;98436;67000
tarefas68000.txt;106752;68000
tarefas69000.txt;107496;69000
tarefas7000.txt;11277;7000
tarefas70000.txt;113070;70000
tarefas71000.txt;117967;71000
tarefas72000.txt;123248;72000
tarefas73000.txt;127833;73000
tarefas74000.txt;133047;74000
tarefas75000.txt;161158;75000
tarefas76000.txt;163288;76000
tarefas77000.txt;163627;77000
tarefas78000.txt;154830;78000
tarefas79000.txt;162873;79000
tarefas8000.txt;18924;8000
tarefas80000.txt;182611;80000
tarefas81000.txt;199214;81000
tarefas82000.txt;198912;82000
tarefas83000.txt;224347;83000
tarefas84000.txt;282744;84000
tarefas85000.txt;224075;85000
tarefas86000.txt;210955;86000
tarefas87000.txt;219019;87000
tarefas88000.txt;226832;88000
tarefas89000.txt;235109;89000
tarefas9000.txt;23848;9000
tarefas90000.txt;242923;90000
tarefas91000.txt;251491;91000
tarefas92000.txt;259905;92000
tarefas93000.txt;267020;93000
tarefas94000.txt;276029;94000
tarefas95000.txt;285338;95000
tarefas96000.txt;294977;96000
tarefas97000.txt;301581;97000
tarefas98000.txt;300647;98000
tarefas99000.txt;307247;99000
